ticker,base_fcf_bn,normalized_fcf_bn,fcf_vol,base_growth_pct,wacc_base_pct,dcf_p10_bn,dcf_p25_bn,dcf_median_bn,dcf_mean_bn,dcf_p75_bn,dcf_p90_bn,bear_median_bn,base_median_bn,bull_median_bn,market_cap_bn,current_price,upside_pct,upside_bear_pct,upside_bull_pct,prob_above_mktcap
NVDA,1.0,1.0,0.3,40.0,14.277976,11.029748343897932,18.937735592078166,33.76065040343123,37.05034939999844,53.89897002975294,67.83406458033737,20.977651965809446,33.596323883184446,53.803664566621705,4621.547864064,189.82,-99.26949473647248,-99.54609034499184,-98.83580856134834,0.0
AMD,4.555183333333334,4.555183333333334,0.6,36.78234296340157,13.006316000000002,23.398063614460934,58.58806246788207,158.54915500960024,182.16286938669583,296.12059086614187,366.34917637102,95.49353242726444,155.56736942574383,261.74352118913606,326.326714368,200.15,-51.413982359163,-70.73683268248276,-19.790961124326834,18.67186718671867
INTC,4.2892,4.2892,0.6,-5.0,11.013468,21.068875515855538,24.6811972170718,41.70408992479048,99.11079387599182,122.47399529034269,288.92916287514447,31.76018785694136,37.704365504772355,71.58976578817551,220.337324032,44.11,-81.07261667626783,-85.58565236440432,-67.50901550489085,14.122252333634448
AVGO,22.62773333333333,22.62773333333333,0.1136699826029482,3.02912381291028,10.469964000000001,139.64817627151803,198.62484397288006,305.18825306337,367.4456594292868,465.3021817888252,675.9584900632499,178.14539086492084,297.2047982169161,554.6253307850807,1577.184657408,332.65,-80.64980840195803,-88.70484885658911,-64.83447082876324,0.10050251256281408
QCOM,10.848705833333334,10.848705833333334,0.36267883050206673,18.884070707361502,10.529192000000002,67.17702120139178,121.21120979222101,271.6186870292917,390.85237681815005,551.2330024466404,933.7247113761033,150.00781696141473,266.0656223645387,484.2854841536924,152.60229632,142.88,77.99121872957917,-1.7001574819980214,217.35137401744464,68.94995486912045
MU,1.1893833333333335,1.1893833333333335,0.6,11.322477099421919,11.459420000000001,5.837739903715207,7.370133388861469,19.88838591124281,36.36985707215542,54.19561322782097,98.01023699246616,10.950834232987926,19.27420844744263,35.259944467358814,481.90930944,428.17,-95.87300234262874,-97.7276151303835,-92.68328214942923,0.0
AMAT,6.273083333333333,6.273083333333333,0.32531021774013735,-2.6542740348525147,12.058668,28.86707533488412,34.375210045285485,58.008073070094774,91.48154842239418,114.44956767508526,201.89757732903112,42.07808358422579,53.28665250193728,99.84082777193493,297.947168768,375.38,-80.53075204239869,-85.87733397225522,-66.490425740653,3.8271230940119154
LRCX,4.614809176666667,4.614809176666667,0.4380798577142587,23.941730917204357,12.403584,23.92409298584538,47.24777013929022,113.4185472788878,155.1412000846322,239.50766436742833,358.90301736258124,64.29630778929837,108.45936294281114,188.4782076093829,307.626868736,244.92,-63.131130988359274,-79.09925486889887,-38.7315521612868,16.398199099549775
KLAC,3.41204005,3.41204005,0.2593446329471556,25.151479700394468,11.28522,31.285101549729315,54.25967686697587,98.52820625771042,123.03389400202794,167.4886100817063,255.97181080755993,55.54854823940739,96.00459887855634,167.363028248836,196.562927616,1496.0,-49.87447152283342,-71.74006873364975,-14.85524240064644,18.59578736208626
TXN,2.521066666666667,2.521066666666667,0.4854893798606383,13.197825017840062,9.68258,15.074028149470312,21.576416458639823,56.93405749428438,99.15010183562715,142.4853540365398,259.61071363931336,30.280654470679057,55.84196503620043,102.81754022387948,199.6517376,219.73,-71.48331480673055,-84.83326274307414,-48.50155502784892,16.986986986986988
